sample_name,Reference polyurethane
3590.00,0.058018
3588.00,0.056235
3586.00,0.056995
3584.00,0.056152
3582.00,0.058013
3580.00,0.058225
3578.00,0.056172
3576.00,0.058911
3574.00,0.058179
3572.00,0.057987
3570.00,0.059744
3568.00,0.057162
3566.00,0.059127
3564.00,0.060811
3562.00,0.060776
3560.00,0.060351
3558.00,0.059449
3556.00,0.062984
3554.00,0.062875
3552.00,0.061147
3550.00,0.063857
3548.00,0.065133
3546.00,0.065694
3544.00,0.065745
3542.00,0.065487
3540.00,0.067938
3538.00,0.068614
3536.00,0.069896
3534.00,0.071964
3532.00,0.071892
3530.00,0.071559
3528.00,0.073108
3526.00,0.074558
3524.00,0.078958
3522.00,0.078824
3520.00,0.081847
3518.00,0.082182
3516.00,0.084989
3514.00,0.087109
3512.00,0.088085
3510.00,0.090393
3508.00,0.093528
3506.00,0.096378
3504.00,0.099246
3502.00,0.100992
3500.00,0.103468
3498.00,0.105923
3496.00,0.108942
3494.00,0.110529
3492.00,0.116654
3490.00,0.117081
3488.00,0.121676
3486.00,0.127024
3484.00,0.127664
3482.00,0.132693
3480.00,0.137460
3478.00,0.139941
3476.00,0.146276
3474.00,0.150226
3472.00,0.153154
3470.00,0.159407
3468.00,0.163753
3466.00,0.168307
3464.00,0.174259
3462.00,0.180036
3460.00,0.185901
3458.00,0.190222
3456.00,0.197529
3454.00,0.203897
3452.00,0.207687
3450.00,0.212869
3448.00,0.221661
3446.00,0.225842
3444.00,0.232407
3442.00,0.239161
3440.00,0.246050
3438.00,0.254560
3436.00,0.259549
3434.00,0.268612
3432.00,0.274740
3430.00,0.282691
3428.00,0.289088
3426.00,0.296136
3424.00,0.305025
3422.00,0.313602
3420.00,0.320765
3418.00,0.326163
3416.00,0.335300
3414.00,0.342517
3412.00,0.351916
3410.00,0.357344
3408.00,0.365072
3406.00,0.374308
3404.00,0.380834
3402.00,0.389835
3400.00,0.398278
3398.00,0.405626
3396.00,0.411040
3394.00,0.420147
3392.00,0.427376
3390.00,0.433567
3388.00,0.442072
3386.00,0.449406
3384.00,0.455554
3382.00,0.461908
3380.00,0.468821
3378.00,0.476554
3376.00,0.481182
3374.00,0.489672
3372.00,0.495057
3370.00,0.500502
3368.00,0.506594
3366.00,0.511326
3364.00,0.517082
3362.00,0.521553
3360.00,0.525776
3358.00,0.532656
3356.00,0.536687
3354.00,0.539636
3352.00,0.543784
3350.00,0.546372
3348.00,0.549511
3346.00,0.551771
3344.00,0.553269
3342.00,0.555800
3340.00,0.557557
3338.00,0.559095
3336.00,0.562087
3334.00,0.562478
3332.00,0.562409
3330.00,0.562880
3328.00,0.562712
3326.00,0.563379
3324.00,0.562594
3322.00,0.561807
3320.00,0.561290
3318.00,0.558993
3316.00,0.556570
3314.00,0.554907
3312.00,0.550121
3310.00,0.548001
3308.00,0.544717
3306.00,0.543448
3304.00,0.537339
3302.00,0.534742
3300.00,0.530798
3298.00,0.525523
3296.00,0.522493
3294.00,0.516730
3292.00,0.512435
3290.00,0.504391
3288.00,0.500489
3286.00,0.494858
3284.00,0.488997
3282.00,0.482135
3280.00,0.475071
3278.00,0.471107
3276.00,0.461731
3274.00,0.455810
3272.00,0.448761
3270.00,0.441665
3268.00,0.434679
3266.00,0.426734
3264.00,0.421260
3262.00,0.413227
3260.00,0.407085
3258.00,0.397105
3256.00,0.392218
3254.00,0.382834
3252.00,0.377521
3250.00,0.367358
3248.00,0.362401
3246.00,0.352373
3244.00,0.347137
3242.00,0.337358
3240.00,0.331100
3238.00,0.324362
3236.00,0.315307
3234.00,0.309097
3232.00,0.302023
3230.00,0.293530
3228.00,0.288136
3226.00,0.281482
3224.00,0.273010
3222.00,0.266883
3220.00,0.258335
3218.00,0.252362
3216.00,0.246357
3214.00,0.241850
3212.00,0.235337
3210.00,0.227980
3208.00,0.222422
3206.00,0.217061
3204.00,0.208845
3202.00,0.203943
3200.00,0.199031
3198.00,0.195164
3196.00,0.189420
3194.00,0.183879
3192.00,0.177716
3190.00,0.174360
3188.00,0.168877
3186.00,0.166165
3184.00,0.159248
3182.00,0.156784
3180.00,0.152606
3178.00,0.149726
3176.00,0.146023
3174.00,0.142667
3172.00,0.138820
3170.00,0.135432
3168.00,0.132297
3166.00,0.126970
3164.00,0.123510
3162.00,0.120516
3160.00,0.120905
3158.00,0.118234
3156.00,0.113880
3154.00,0.112870
3152.00,0.109458
3150.00,0.108556
3148.00,0.104693
3146.00,0.102065
3144.00,0.101105
3142.00,0.097727
3140.00,0.097877
3138.00,0.096662
3136.00,0.095731
3134.00,0.092333
3132.00,0.092418
3130.00,0.089604
3128.00,0.089545
3126.00,0.088958
3124.00,0.084789
3122.00,0.086919
3120.00,0.085097
3118.00,0.082459
3116.00,0.083698
3114.00,0.082669
3112.00,0.079934
3110.00,0.081324
3108.00,0.080352
3106.00,0.077553
3104.00,0.076585
3102.00,0.078446
3100.00,0.076086
3098.00,0.075207
3096.00,0.074576
3094.00,0.075361
3092.00,0.074661
3090.00,0.074447
3088.00,0.075738
3086.00,0.075331
3084.00,0.073408
3082.00,0.073672
3080.00,0.072860
3078.00,0.074122
3076.00,0.072903
3074.00,0.072205
3072.00,0.071032
3070.00,0.073250
3068.00,0.070147
3066.00,0.071852
3064.00,0.070575
3062.00,0.072885
3060.00,0.070925
3058.00,0.070903
3056.00,0.070876
3054.00,0.070319
3052.00,0.069796
3050.00,0.069338
3048.00,0.069378
3046.00,0.070846
3044.00,0.071351
3042.00,0.068749
3040.00,0.070388
3038.00,0.071393
3036.00,0.070694
3034.00,0.071213
3032.00,0.069438
3030.00,0.069196
3028.00,0.070766
3026.00,0.069548
3024.00,0.069385
3022.00,0.070760
3020.00,0.071087
3018.00,0.070647
3016.00,0.072426
3014.00,0.072768
3012.00,0.075153
3010.00,0.075061
3008.00,0.075906
3006.00,0.077358
3004.00,0.078615
3002.00,0.083053
3000.00,0.083141
2998.00,0.088515
2996.00,0.090525
2994.00,0.097269
2992.00,0.102777
2990.00,0.106356
2988.00,0.114107
2986.00,0.119351
2984.00,0.128415
2982.00,0.137520
2980.00,0.148554
2978.00,0.158221
2976.00,0.170108
2974.00,0.180494
2972.00,0.194099
2970.00,0.207187
2968.00,0.219386
2966.00,0.233911
2964.00,0.247632
2962.00,0.260568
2960.00,0.275571
2958.00,0.288879
2956.00,0.298642
2954.00,0.310894
2952.00,0.322240
2950.00,0.330704
2948.00,0.337258
2946.00,0.342984
2944.00,0.346790
2942.00,0.350773
2940.00,0.351810
2938.00,0.349317
2936.00,0.346367
2934.00,0.342415
2932.00,0.335810
2930.00,0.330042
2928.00,0.318781
2926.00,0.308208
2924.00,0.297590
2922.00,0.285278
2920.00,0.271547
2918.00,0.259963
2916.00,0.243352
2914.00,0.232178
2912.00,0.216305
2910.00,0.204056
2908.00,0.189003
2906.00,0.176357
2904.00,0.166515
2902.00,0.153270
2900.00,0.144542
2898.00,0.134758
2896.00,0.124013
2894.00,0.114915
2892.00,0.109566
2890.00,0.100669
2888.00,0.095206
2886.00,0.089108
2884.00,0.085276
2882.00,0.081324
2880.00,0.077710
2878.00,0.076351
2876.00,0.073218
2874.00,0.072422
2872.00,0.068136
2870.00,0.066090
2868.00,0.066045
2866.00,0.066806
2864.00,0.063168
2862.00,0.063945
2860.00,0.063855
2858.00,0.063793
2856.00,0.063747
2854.00,0.060642
2852.00,0.061239
2850.00,0.060195
2848.00,0.059988
2846.00,0.061811
2844.00,0.060948
2842.00,0.060990
2840.00,0.059576
2838.00,0.060838
2836.00,0.059027
2834.00,0.061021
2832.00,0.058892
2830.00,0.058231
2828.00,0.059836
2826.00,0.060155
2824.00,0.058995
2822.00,0.058139
2820.00,0.058956
2818.00,0.058911
2816.00,0.058226
2814.00,0.057865
2812.00,0.060145
2810.00,0.058398
2808.00,0.057537
2806.00,0.059973
2804.00,0.057174
2802.00,0.059541
2800.00,0.056751
2798.00,0.056774
2796.00,0.058791
2794.00,0.056968
2792.00,0.058897
2790.00,0.058165
2788.00,0.059240
2786.00,0.056942
2784.00,0.057489
2782.00,0.057326
2780.00,0.057731
2778.00,0.056154
2776.00,0.056049
2774.00,0.058692
2772.00,0.058220
2770.00,0.058790
2768.00,0.056393
2766.00,0.056214
2764.00,0.055965
2762.00,0.058851
2760.00,0.057080
2758.00,0.057693
2756.00,0.056042
2754.00,0.057962
2752.00,0.056394
2750.00,0.055447
2748.00,0.056120
2746.00,0.055820
2744.00,0.058481
2742.00,0.058415
2740.00,0.055718
2738.00,0.057853
2736.00,0.057956
2734.00,0.058214
2732.00,0.055517
2730.00,0.057523
2728.00,0.055821
2726.00,0.055324
2724.00,0.057401
2722.00,0.055450
2720.00,0.057758
2718.00,0.055529
2716.00,0.055912
2714.00,0.056641
2712.00,0.056200
2710.00,0.056564
2708.00,0.055468
2706.00,0.057568
2704.00,0.057228
2702.00,0.057011
2700.00,0.056347
2698.00,0.056364
2696.00,0.057219
2694.00,0.058034
2692.00,0.058493
2690.00,0.057518
2688.00,0.055829
2686.00,0.058664
2684.00,0.058828
2682.00,0.058198
2680.00,0.056086
2678.00,0.057131
2676.00,0.057150
2674.00,0.056945
2672.00,0.059409
2670.00,0.056583
2668.00,0.057025
2666.00,0.058818
2664.00,0.057512
2662.00,0.057354
2660.00,0.057957
2658.00,0.059600
2656.00,0.057699
2654.00,0.059025
2652.00,0.059189
2650.00,0.059752
2648.00,0.060260
2646.00,0.057958
2644.00,0.058237
2642.00,0.058642
2640.00,0.057957
2638.00,0.059283
2636.00,0.057827
2634.00,0.061036
2632.00,0.060996
2630.00,0.059811
2628.00,0.060796
2626.00,0.061175
2624.00,0.060647
2622.00,0.059055
2620.00,0.059254
2618.00,0.060858
2616.00,0.060168
2614.00,0.059909
2612.00,0.061646
2610.00,0.061395
2608.00,0.060563
2606.00,0.062529
2604.00,0.059969
2602.00,0.062159
2600.00,0.062552
2598.00,0.061487
2596.00,0.060797
2594.00,0.061858
2592.00,0.063771
2590.00,0.063577
2588.00,0.062824
2586.00,0.063720
2584.00,0.061435
2582.00,0.063784
2580.00,0.061830
2578.00,0.063962
2576.00,0.063892
2574.00,0.063166
2572.00,0.062293
2570.00,0.064915
2568.00,0.062411
2566.00,0.064363
2564.00,0.064083
2562.00,0.065258
2560.00,0.065282
2558.00,0.066287
2556.00,0.064663
2554.00,0.063923
2552.00,0.065658
2550.00,0.066721
2548.00,0.066471
2546.00,0.065993
2544.00,0.064590
2542.00,0.066719
2540.00,0.066888
2538.00,0.066909
2536.00,0.066998
2534.00,0.066288
2532.00,0.065245
2530.00,0.065740
2528.00,0.067682
2526.00,0.066001
2524.00,0.065961
2522.00,0.067603
2520.00,0.069224
2518.00,0.066417
2516.00,0.066755
2514.00,0.067803
2512.00,0.068902
2510.00,0.068747
2508.00,0.068480
2506.00,0.068352
2504.00,0.068742
2502.00,0.070857
2500.00,0.070040
2498.00,0.070726
2496.00,0.068834
2494.00,0.069244
2492.00,0.068512
2490.00,0.069975
2488.00,0.071056
2486.00,0.070709
2484.00,0.069265
2482.00,0.070590
2480.00,0.071647
2478.00,0.072476
2476.00,0.072372
2474.00,0.071489
2472.00,0.073149
2470.00,0.070308
2468.00,0.072979
2466.00,0.072041
2464.00,0.072569
2462.00,0.072885
2460.00,0.072976
2458.00,0.073805
2456.00,0.071177
2454.00,0.071376
2452.00,0.073090
2450.00,0.074352
2448.00,0.073668
2446.00,0.072121
2444.00,0.074504
2442.00,0.072708
2440.00,0.073007
2438.00,0.074310
2436.00,0.073353
2434.00,0.073921
2432.00,0.075021
2430.00,0.074491
2428.00,0.073426
2426.00,0.073298
2424.00,0.074609
2422.00,0.073287
2420.00,0.074388
2418.00,0.074734
2416.00,0.074009
2414.00,0.076126
2412.00,0.075364
2410.00,0.074469
2408.00,0.076201
2406.00,0.074866
2404.00,0.074736
2402.00,0.077375
2400.00,0.076367
2398.00,0.074714
2396.00,0.075354
2394.00,0.076136
2392.00,0.076110
2390.00,0.075787
2388.00,0.077218
2386.00,0.077205
2384.00,0.075568
2382.00,0.077543
2380.00,0.077189
2378.00,0.076338
2376.00,0.076604
2374.00,0.077766
2372.00,0.077703
2370.00,0.077443
2368.00,0.076314
2366.00,0.075369
2364.00,0.077707
2362.00,0.076773
2360.00,0.078465
2358.00,0.076653
2356.00,0.077776
2354.00,0.077649
2352.00,0.075691
2350.00,0.076491
2348.00,0.076356
2346.00,0.078000
2344.00,0.077652
2342.00,0.078848
2340.00,0.076422
2338.00,0.077711
2336.00,0.077845
2334.00,0.077857
2332.00,0.077185
2330.00,0.078923
2328.00,0.075729
2326.00,0.075813
2324.00,0.076796
2322.00,0.076507
2320.00,0.077493
2318.00,0.077281
2316.00,0.078040
2314.00,0.075802
2312.00,0.078414
2310.00,0.078604
2308.00,0.076154
2306.00,0.078593
2304.00,0.078662
2302.00,0.076809
2300.00,0.076000
2298.00,0.076931
2296.00,0.075476
2294.00,0.078043
2292.00,0.077060
2290.00,0.076951
2288.00,0.076907
2286.00,0.076539
2284.00,0.076893
2282.00,0.077539
2280.00,0.077958
2278.00,0.076879
2276.00,0.076869
2274.00,0.077381
2272.00,0.076521
2270.00,0.075725
2268.00,0.077268
2266.00,0.076175
2264.00,0.075756
2262.00,0.076843
2260.00,0.076666
2258.00,0.075743
2256.00,0.077244
2254.00,0.075216
2252.00,0.076333
2250.00,0.074977
2248.00,0.075196
2246.00,0.076559
2244.00,0.074143
2242.00,0.075846
2240.00,0.076481
2238.00,0.074107
2236.00,0.074295
2234.00,0.075492
2232.00,0.075168
2230.00,0.073874
2228.00,0.073900
2226.00,0.073368
2224.00,0.074658
2222.00,0.072833
2220.00,0.073787
2218.00,0.074675
2216.00,0.072443
2214.00,0.074015
2212.00,0.075139
2210.00,0.073927
2208.00,0.074670
2206.00,0.074218
2204.00,0.072128
2202.00,0.072312
2200.00,0.073267
2198.00,0.073283
2196.00,0.072925
2194.00,0.073663
2192.00,0.071587
2190.00,0.071938
2188.00,0.073858
2186.00,0.072369
2184.00,0.072881
2182.00,0.073215
2180.00,0.070859
2178.00,0.073101
2176.00,0.072491
2174.00,0.071737
2172.00,0.071944
2170.00,0.072305
2168.00,0.069823
2166.00,0.071210
2164.00,0.069993
2162.00,0.069191
2160.00,0.071437
2158.00,0.069741
2156.00,0.069408
2154.00,0.071029
2152.00,0.068885
2150.00,0.070280
2148.00,0.068543
2146.00,0.070612
2144.00,0.070664
2142.00,0.068156
2140.00,0.068384
2138.00,0.069937
2136.00,0.069776
2134.00,0.070104
2132.00,0.068226
2130.00,0.069153
2128.00,0.068338
2126.00,0.068528
2124.00,0.067404
2122.00,0.069219
2120.00,0.069828
2118.00,0.067262
2116.00,0.067677
2114.00,0.068596
2112.00,0.067988
2110.00,0.068296
2108.00,0.067694
2106.00,0.066996
2104.00,0.068611
2102.00,0.066674
2100.00,0.068450
2098.00,0.066149
2096.00,0.068012
2094.00,0.067604
2092.00,0.067952
2090.00,0.067210
2088.00,0.065448
2086.00,0.065897
2084.00,0.064942
2082.00,0.065097
2080.00,0.064920
2078.00,0.065153
2076.00,0.066769
2074.00,0.066581
2072.00,0.066309
2070.00,0.064447
2068.00,0.065368
2066.00,0.064633
2064.00,0.065814
2062.00,0.064508
2060.00,0.065323
2058.00,0.064634
2056.00,0.064804
2054.00,0.064589
2052.00,0.064431
2050.00,0.064620
2048.00,0.065598
2046.00,0.065076
2044.00,0.064584
2042.00,0.066166
2040.00,0.065103
2038.00,0.065714
2036.00,0.064087
2034.00,0.065394
2032.00,0.065206
2030.00,0.066261
2028.00,0.065244
2026.00,0.064385
2024.00,0.064264
2022.00,0.065202
2020.00,0.065013
2018.00,0.064082
2016.00,0.065287
2014.00,0.063536
2012.00,0.065245
2010.00,0.066141
2008.00,0.064850
2006.00,0.063822
2004.00,0.063328
2002.00,0.063656
2000.00,0.066262
1998.00,0.066095
1996.00,0.063676
1994.00,0.066051
1992.00,0.066434
1990.00,0.064072
1988.00,0.065152
1986.00,0.063685
1984.00,0.064191
1982.00,0.064917
1980.00,0.065775
1978.00,0.065995
1976.00,0.063900
1974.00,0.065587
1972.00,0.066071
1970.00,0.065223
1968.00,0.065297
1966.00,0.065879
1964.00,0.065936
1962.00,0.064657
1960.00,0.064559
1958.00,0.066833
1956.00,0.065312
1954.00,0.064923
1952.00,0.065230
1950.00,0.066021
1948.00,0.066218
1946.00,0.064979
1944.00,0.065282
1942.00,0.064708
1940.00,0.065435
1938.00,0.065003
1936.00,0.066727
1934.00,0.066806
1932.00,0.066446
1930.00,0.065775
1928.00,0.066589
1926.00,0.067216
1924.00,0.066069
1922.00,0.065987
1920.00,0.068063
1918.00,0.066635
1916.00,0.065619
1914.00,0.068222
1912.00,0.068970
1910.00,0.065937
1908.00,0.067594
1906.00,0.068205
1904.00,0.068664
1902.00,0.067392
1900.00,0.067688
1898.00,0.069465
1896.00,0.068109
1894.00,0.066830
1892.00,0.068762
1890.00,0.069092
1888.00,0.070365
1886.00,0.070180
1884.00,0.070547
1882.00,0.069519
1880.00,0.068847
1878.00,0.070031
1876.00,0.068045
1874.00,0.068431
1872.00,0.071250
1870.00,0.069799
1868.00,0.068974
1866.00,0.069041
1864.00,0.071043
1862.00,0.069834
1860.00,0.071201
1858.00,0.071213
1856.00,0.071156
1854.00,0.070475
1852.00,0.071859
1850.00,0.071953
1848.00,0.073293
1846.00,0.071637
1844.00,0.073572
1842.00,0.071575
1840.00,0.071659
1838.00,0.072868
1836.00,0.071550
1834.00,0.071929
1832.00,0.072858
1830.00,0.071662
1828.00,0.073063
1826.00,0.072218
1824.00,0.074511
1822.00,0.072974
1820.00,0.072688
1818.00,0.072924
1816.00,0.074183
1814.00,0.074533
1812.00,0.073744
1810.00,0.074370
1808.00,0.075175
1806.00,0.076064
1804.00,0.077990
1802.00,0.080128
1800.00,0.079093
1798.00,0.080966
1796.00,0.084008
1794.00,0.085879
1792.00,0.088685
1790.00,0.092349
1788.00,0.100347
1786.00,0.103946
1784.00,0.113542
1782.00,0.122901
1780.00,0.132678
1778.00,0.147110
1776.00,0.163184
1774.00,0.181296
1772.00,0.201751
1770.00,0.225226
1768.00,0.252484
1766.00,0.284440
1764.00,0.319920
1762.00,0.355043
1760.00,0.398074
1758.00,0.442142
1756.00,0.488447
1754.00,0.536978
1752.00,0.584101
1750.00,0.635304
1748.00,0.686973
1746.00,0.737759
1744.00,0.783367
1742.00,0.830974
1740.00,0.871437
1738.00,0.907181
1736.00,0.938967
1734.00,0.963978
1732.00,0.981810
1730.00,0.993935
1728.00,1.000000
1726.00,0.995440
1724.00,0.984753
1722.00,0.964722
1720.00,0.939157
1718.00,0.909591
1716.00,0.871433
1714.00,0.832916
1712.00,0.786605
1710.00,0.739876
1708.00,0.690477
1706.00,0.638468
1704.00,0.588595
1702.00,0.538448
1700.00,0.490751
1698.00,0.445225
1696.00,0.400862
1694.00,0.361701
1692.00,0.322146
1690.00,0.288851
1688.00,0.259974
1686.00,0.230820
1684.00,0.206856
1682.00,0.186635
1680.00,0.168056
1678.00,0.153043
1676.00,0.138815
1674.00,0.129492
1672.00,0.118596
1670.00,0.113003
1668.00,0.106489
1666.00,0.101004
1664.00,0.097260
1662.00,0.093350
1660.00,0.093559
1658.00,0.091130
1656.00,0.089772
1654.00,0.086681
1652.00,0.086326
1650.00,0.085183
1648.00,0.084486
1646.00,0.084864
1644.00,0.084929
1642.00,0.086746
1640.00,0.083903
1638.00,0.084056
1636.00,0.085504
1634.00,0.084784
1632.00,0.085775
1630.00,0.085311
1628.00,0.085163
1626.00,0.086886
1624.00,0.085752
1622.00,0.087619
1620.00,0.086950
1618.00,0.087367
1616.00,0.087955
1614.00,0.089603
1612.00,0.090638
1610.00,0.089711
1608.00,0.093586
1606.00,0.093899
1604.00,0.095742
1602.00,0.099213
1600.00,0.104112
1598.00,0.106525
1596.00,0.111843
1594.00,0.120492
1592.00,0.126890
1590.00,0.135898
1588.00,0.144409
1586.00,0.156419
1584.00,0.171298
1582.00,0.187323
1580.00,0.203490
1578.00,0.222868
1576.00,0.246773
1574.00,0.271305
1572.00,0.295510
1570.00,0.323927
1568.00,0.353798
1566.00,0.384942
1564.00,0.419201
1562.00,0.454445
1560.00,0.486333
1558.00,0.523220
1556.00,0.556789
1554.00,0.590641
1552.00,0.622813
1550.00,0.654664
1548.00,0.682996
1546.00,0.707064
1544.00,0.730365
1542.00,0.747135
1540.00,0.763870
1538.00,0.771471
1536.00,0.775252
1534.00,0.776063
1532.00,0.771398
1530.00,0.761427
1528.00,0.748349
1526.00,0.729882
1524.00,0.706358
1522.00,0.680371
1520.00,0.654149
1518.00,0.621035
1516.00,0.589432
1514.00,0.554678
1512.00,0.520425
1510.00,0.485903
1508.00,0.450790
1506.00,0.415032
1504.00,0.381985
1502.00,0.352871
1500.00,0.320398
1498.00,0.292667
1496.00,0.265944
1494.00,0.243792
1492.00,0.221185
1490.00,0.201753
1488.00,0.183389
1486.00,0.168400
1484.00,0.154001
1482.00,0.140669
1480.00,0.131383
1478.00,0.122342
1476.00,0.112996
1474.00,0.107046
1472.00,0.101271
1470.00,0.098304
1468.00,0.094360
1466.00,0.090679
1464.00,0.087869
1462.00,0.087006
1460.00,0.084810
1458.00,0.084762
1456.00,0.084268
1454.00,0.080753
1452.00,0.080046
1450.00,0.080414
1448.00,0.081390
1446.00,0.080452
1444.00,0.079487
1442.00,0.079580
1440.00,0.077587
1438.00,0.079313
1436.00,0.078283
1434.00,0.077327
1432.00,0.078951
1430.00,0.078343
1428.00,0.078671
1426.00,0.077992
1424.00,0.079198
1422.00,0.078824
1420.00,0.076264
1418.00,0.077906
1416.00,0.077778
1414.00,0.076152
1412.00,0.076322
1410.00,0.077201
1408.00,0.078144
1406.00,0.077438
1404.00,0.076039
1402.00,0.077586
1400.00,0.075206
1398.00,0.076083
1396.00,0.077620
1394.00,0.075569
1392.00,0.076458
1390.00,0.076587
1388.00,0.076133
1386.00,0.076623
1384.00,0.076305
1382.00,0.076751
1380.00,0.075668
1378.00,0.073966
1376.00,0.076516
1374.00,0.076327
1372.00,0.073731
1370.00,0.075412
1368.00,0.074359
1366.00,0.073723
1364.00,0.073458
1362.00,0.075025
1360.00,0.074159
1358.00,0.075454
1356.00,0.073521
1354.00,0.074467
1352.00,0.074837
1350.00,0.073952
1348.00,0.075321
1346.00,0.074555
1344.00,0.072297
1342.00,0.073728
1340.00,0.075143
1338.00,0.074580
1336.00,0.072515
1334.00,0.072530
1332.00,0.074919
1330.00,0.073201
1328.00,0.073557
1326.00,0.074494
1324.00,0.072067
1322.00,0.072515
1320.00,0.072955
1318.00,0.073860
1316.00,0.073439
1314.00,0.071981
1312.00,0.073196
1310.00,0.074015
1308.00,0.072320
1306.00,0.074354
1304.00,0.072203
1302.00,0.073224
1300.00,0.072221
1298.00,0.074708
1296.00,0.074351
1294.00,0.074376
1292.00,0.076604
1290.00,0.077413
1288.00,0.076279
1286.00,0.079787
1284.00,0.081080
1282.00,0.083454
1280.00,0.085949
1278.00,0.088554
1276.00,0.091996
1274.00,0.099213
1272.00,0.103022
1270.00,0.111803
1268.00,0.121229
1266.00,0.131514
1264.00,0.141860
1262.00,0.153819
1260.00,0.170088
1258.00,0.188236
1256.00,0.205715
1254.00,0.226355
1252.00,0.251493
1250.00,0.274291
1248.00,0.300583
1246.00,0.325826
1244.00,0.352794
1242.00,0.380901
1240.00,0.410747
1238.00,0.438807
1236.00,0.464596
1234.00,0.491272
1232.00,0.514284
1230.00,0.532305
1228.00,0.549479
1226.00,0.565349
1224.00,0.574894
1222.00,0.580855
1220.00,0.584551
1218.00,0.582814
1216.00,0.574713
1214.00,0.566498
1212.00,0.551696
