z_distance_nm,force_nN
60.5,6.876844986460019
61.0,6.812237337491474
61.5,6.978427008106756
62.0,6.838723242910786
62.5,7.072009368705517
63.0,6.924471789931381
63.5,6.881047074213068
64.0,6.978892051667571
64.5,6.976797913671005
65.0,6.992205288336454
65.5,7.103781030638939
66.0,6.88024623155222
66.5,6.926245819243477
67.0,7.124795706495314
67.5,6.962995445384767
68.0,6.826797338524835
68.5,7.105512975272248
69.0,7.021983742972433
69.5,7.0324637109196395
70.0,7.097708709081105
70.5,7.1901166653815896
71.0,7.158079338886782
71.5,6.977272226122543
72.0,6.967716416405994
72.5,7.330936880066781
73.0,7.097176124162543
73.5,7.057165563258174
74.0,7.211473178557108
74.5,7.004345058369277
75.0,7.09780766018435
75.5,7.067719096470553
76.0,7.00177876805849
76.5,7.022988851774774
77.0,7.125487837920709
77.5,7.078670416364476
78.0,7.133021808119531
78.5,7.155596844490924
79.0,7.156188611143334
79.5,7.118502812352171
80.0,7.119922327226263
80.5,7.186340585696693
81.0,7.009285468238753
81.5,7.24640511572872
82.0,7.229082170968607
82.5,7.265086427985076
83.0,7.182399499765974
83.5,7.167739947022824
84.0,7.18022332379849
84.5,7.354378597312506
85.0,7.204249353561532
85.5,7.170205097056836
86.0,7.242318274500943
86.5,7.212288734367117
87.0,7.335409684794195
87.5,7.418765967176108
88.0,7.27671188639184
88.5,7.356814683459423
89.0,7.323083166027241
89.5,7.507990701346264
90.0,7.298616668588713
90.5,7.389426242374432
91.0,7.370130764801503
91.5,7.336795915168117
92.0,7.173313530593117
92.5,7.367733142791423
93.0,7.522955719484693
93.5,7.52465303947022
94.0,7.3922648652785465
94.5,7.5441793632674345
95.0,7.388661362272931
95.5,7.461182742414103
96.0,7.5391212881342815
96.5,7.376313491076791
97.0,7.545154129730817
97.5,7.268847558655104
98.0,7.362437508440731
98.5,7.559496195413675
99.0,7.416994795706712
99.5,7.492513847423071
100.0,7.558880341520486
100.5,7.45075854355852
101.0,7.548577610857358
101.5,7.458516309616961
102.0,7.415165925664468
102.5,7.459687209520713
103.0,7.517936720918034
103.5,7.623905270277106
104.0,7.344772165784246
104.5,7.5133520148142425
105.0,7.737384879242434
105.5,7.556158221431991
106.0,7.735769092564351
106.5,7.633283501019995
107.0,7.589173049722607
107.5,7.655247460885608
108.0,7.778957955227507
108.5,7.51961538131337
109.0,7.666757819678591
109.5,7.633445977724385
110.0,7.690659261900056
110.5,7.601060720765432
111.0,7.784634221845735
111.5,7.592206127890815
112.0,7.855933384949749
112.5,7.6842743841532375
113.0,7.717837794245773
113.5,7.635506817294955
114.0,7.7726492447828415
114.5,7.660632914277416
115.0,7.874189024856607
115.5,7.837664571653236
116.0,7.812477467430553
116.5,7.605852097129599
117.0,7.727406037944789
117.5,7.795679968470235
118.0,7.798543008213756
118.5,7.901618329891177
119.0,7.781395951440696
119.5,7.789153098730106
120.0,7.713869192824001
