wavenumber_cm-1,acrylic_absorbance,epoxy_absorbance,polyurethane_absorbance
3274.00,0.044390,0.059762,0.457175
3272.00,0.043931,0.061529,0.450545
3270.00,0.043037,0.060677,0.441697
3268.00,0.043217,0.059655,0.434568
3266.00,0.043755,0.060131,0.429288
3264.00,0.043414,0.062215,0.420513
3262.00,0.044664,0.061377,0.413343
3260.00,0.043640,0.061810,0.407836
3258.00,0.044406,0.061178,0.398906
3256.00,0.044881,0.061697,0.391485
3254.00,0.043342,0.060759,0.384256
3252.00,0.044957,0.061020,0.376024
3250.00,0.044831,0.064337,0.367842
3248.00,0.045501,0.061110,0.361118
3246.00,0.043866,0.062433,0.352294
3244.00,0.045983,0.062814,0.344570
3242.00,0.045912,0.063622,0.340069
3240.00,0.046114,0.063259,0.332149
3238.00,0.045821,0.063679,0.324860
3236.00,0.045131,0.062739,0.315697
3234.00,0.046672,0.063086,0.307559
3232.00,0.044917,0.065476,0.301374
3230.00,0.045514,0.065556,0.293116
3228.00,0.047093,0.065371,0.288509
3226.00,0.045407,0.065971,0.281271
3224.00,0.046250,0.064677,0.271880
3222.00,0.046389,0.066058,0.266400
3220.00,0.046547,0.064615,0.258802
3218.00,0.047577,0.064155,0.254902
3216.00,0.046582,0.064946,0.245804
3214.00,0.045761,0.066735,0.241507
3212.00,0.047933,0.065916,0.234887
3210.00,0.047939,0.064655,0.227146
3208.00,0.046908,0.065870,0.222780
3206.00,0.046343,0.065515,0.217216
3204.00,0.048228,0.066690,0.210595
3202.00,0.046652,0.065376,0.204986
3200.00,0.048631,0.066470,0.200424
3198.00,0.046943,0.065729,0.194071
3196.00,0.047516,0.065836,0.188127
3194.00,0.047868,0.067731,0.182581
3192.00,0.049175,0.067005,0.178965
3190.00,0.048727,0.066360,0.175482
3188.00,0.048426,0.066980,0.169472
3186.00,0.048907,0.066789,0.165166
3184.00,0.047874,0.067293,0.159735
3182.00,0.048825,0.067340,0.156974
3180.00,0.048259,0.066702,0.151366
3178.00,0.048438,0.068042,0.147810
3176.00,0.047963,0.069993,0.145478
3174.00,0.048671,0.067990,0.141159
3172.00,0.048975,0.068326,0.136178
3170.00,0.049563,0.067645,0.133876
3168.00,0.049846,0.068561,0.130572
3166.00,0.050328,0.069557,0.128574
3164.00,0.050252,0.068479,0.123732
3162.00,0.049620,0.068775,0.120747
3160.00,0.049234,0.069390,0.117967
3158.00,0.049880,0.068311,0.117817
3156.00,0.050646,0.068980,0.114994
3154.00,0.049507,0.069077,0.111503
3152.00,0.051281,0.071700,0.109659
3150.00,0.050191,0.071726,0.106302
3148.00,0.050833,0.070283,0.104652
3146.00,0.049395,0.070554,0.103310
3144.00,0.050787,0.071597,0.099723
3142.00,0.051097,0.070926,0.100847
3140.00,0.050766,0.070822,0.097807
3138.00,0.050732,0.072512,0.095581
3136.00,0.051249,0.073298,0.095531
3134.00,0.050768,0.070597,0.093412
3132.00,0.051860,0.073040,0.089823
3130.00,0.050171,0.073579,0.091016
3128.00,0.051815,0.073497,0.087975
3126.00,0.051512,0.073807,0.086426
3124.00,0.050699,0.076138,0.087450
3122.00,0.052432,0.078734,0.085154
3120.00,0.050440,0.079495,0.083444
3118.00,0.051916,0.080116,0.084621
3116.00,0.051256,0.083317,0.083864
3114.00,0.052466,0.084565,0.081378
3112.00,0.052714,0.090074,0.081187
3110.00,0.052410,0.092169,0.080806
3108.00,0.052805,0.098166,0.078524
3106.00,0.051915,0.103914,0.077976
3104.00,0.051142,0.108678,0.078337
3102.00,0.052827,0.117590,0.078533
3100.00,0.052341,0.128196,0.076354
3098.00,0.052536,0.136076,0.076574
3096.00,0.052527,0.147312,0.076755
3094.00,0.052663,0.159898,0.074968
3092.00,0.052663,0.174926,0.075939
3090.00,0.052705,0.187411,0.075447
3088.00,0.053177,0.203297,0.073716
3086.00,0.051729,0.221123,0.074907
3084.00,0.051971,0.239294,0.074879
3082.00,0.051550,0.258491,0.073056
3080.00,0.051589,0.276306,0.072815
3078.00,0.051076,0.296715,0.074443
3076.00,0.052627,0.315292,0.071162
3074.00,0.052505,0.334309,0.073086
3072.00,0.051242,0.352881,0.071762
3070.00,0.052304,0.369021,0.073117
3068.00,0.051526,0.384526,0.070308
3066.00,0.052307,0.401617,0.072167
3064.00,0.053334,0.414017,0.070084
3062.00,0.052493,0.422927,0.071004
3060.00,0.052042,0.431962,0.072141
3058.00,0.053316,0.437822,0.071547
3056.00,0.052328,0.438729,0.070170
3054.00,0.052445,0.438661,0.072051
3052.00,0.051587,0.437191,0.071865
3050.00,0.051414,0.432718,0.071752
3048.00,0.053067,0.423159,0.069950
3046.00,0.052242,0.413921,0.069922
3044.00,0.053174,0.398313,0.068929
3042.00,0.052334,0.384339,0.071823
3040.00,0.052978,0.368439,0.070027
3038.00,0.051090,0.350696,0.071301
3036.00,0.051260,0.334481,0.069685
3034.00,0.053049,0.315938,0.068690
3032.00,0.051411,0.293721,0.070108
3030.00,0.052938,0.277257,0.069803
3028.00,0.052690,0.256824,0.071226
3026.00,0.053372,0.237974,0.070990
3024.00,0.051529,0.222403,0.070532
3022.00,0.053156,0.205015,0.072359
3020.00,0.051243,0.186986,0.069574
3018.00,0.052141,0.174256,0.071664
3016.00,0.052057,0.159240,0.071870
3014.00,0.052090,0.147831,0.072533
3012.00,0.052479,0.135327,0.074278
3010.00,0.053132,0.125652,0.074870
3008.00,0.050912,0.118510,0.076423
3006.00,0.053090,0.110070,0.076758
3004.00,0.052538,0.103182,0.078359
3002.00,0.052928,0.096637,0.081511
3000.00,0.051960,0.094717,0.085803
2998.00,0.051540,0.088882,0.087785
2996.00,0.052037,0.085231,0.091835
2994.00,0.051050,0.082401,0.095369
2992.00,0.050855,0.082010,0.101340
2990.00,0.051669,0.080149,0.105432
2988.00,0.051356,0.076995,0.114942
2986.00,0.050928,0.075308,0.121399
2984.00,0.051344,0.075092,0.129392
2982.00,0.051965,0.075882,0.139251
2980.00,0.051061,0.074647,0.146425
2978.00,0.050925,0.071824,0.158284
2976.00,0.049974,0.072600,0.168292
2974.00,0.050346,0.071610,0.179650
2972.00,0.052165,0.071978,0.194255
2970.00,0.051848,0.072406,0.207059
2968.00,0.051226,0.071309,0.221080
2966.00,0.050184,0.072595,0.234811
2964.00,0.050345,0.072773,0.247041
2962.00,0.051232,0.071156,0.259700
2960.00,0.051595,0.069281,0.273483
2958.00,0.051473,0.070529,0.287446
2956.00,0.051221,0.069035,0.299981
2954.00,0.049184,0.070584,0.310762
2952.00,0.051419,0.070855,0.322693
2950.00,0.049463,0.068788,0.330515
2948.00,0.048954,0.069095,0.336516
2946.00,0.050686,0.069126,0.343007
2944.00,0.049532,0.068829,0.346900
2942.00,0.050553,0.069687,0.350584
2940.00,0.050102,0.069345,0.353152
2938.00,0.049365,0.070228,0.349046
2936.00,0.048543,0.068114,0.347012
2934.00,0.050024,0.067930,0.343572
2932.00,0.049072,0.070477,0.337076
2930.00,0.049160,0.068825,0.327776
2928.00,0.050099,0.069328,0.319572
2926.00,0.049483,0.070242,0.307782
2924.00,0.047991,0.068090,0.297475
2922.00,0.049020,0.069534,0.285782
2920.00,0.048037,0.068143,0.271180
2918.00,0.049956,0.068713,0.257328
2916.00,0.048398,0.068983,0.245175
2914.00,0.049102,0.066675,0.232466
2912.00,0.048326,0.067895,0.215385
2910.00,0.048133,0.068930,0.203418
2908.00,0.048414,0.066937,0.189756
2906.00,0.047518,0.066456,0.178455
2904.00,0.048303,0.067204,0.165991
2902.00,0.047578,0.069042,0.154069
2900.00,0.046928,0.067841,0.142503
2898.00,0.047156,0.068472,0.133167
2896.00,0.047603,0.066700,0.124544
2894.00,0.047719,0.065225,0.115422
2892.00,0.048175,0.066129,0.108039
2890.00,0.048395,0.065925,0.103399
2888.00,0.048322,0.067402,0.095917
2886.00,0.046838,0.065770,0.091908
2884.00,0.046593,0.066923,0.087023
2882.00,0.046079,0.067382,0.083333
2880.00,0.047955,0.066681,0.078466
2878.00,0.046129,0.066711,0.074544
2876.00,0.047154,0.066653,0.072521
2874.00,0.045933,0.065492,0.069777
2872.00,0.046104,0.066540,0.069150
2870.00,0.046307,0.066426,0.066365
2868.00,0.046269,0.066206,0.067188
2866.00,0.047705,0.063879,0.065930
2864.00,0.047457,0.066102,0.063587
2862.00,0.045839,0.063577,0.064535
2860.00,0.046981,0.064236,0.062200
2858.00,0.047357,0.064661,0.061281
2856.00,0.046144,0.065389,0.060911
2854.00,0.045288,0.065265,0.062622
2852.00,0.046222,0.063751,0.062371
2850.00,0.045776,0.065443,0.059736
2848.00,0.046270,0.062974,0.061176
2846.00,0.046760,0.064987,0.060097
2844.00,0.045659,0.064091,0.061417
2842.00,0.045071,0.064539,0.059534
2840.00,0.045594,0.062312,0.058845
2838.00,0.044926,0.063828,0.061612
2836.00,0.046459,0.064944,0.061239
2834.00,0.046145,0.061733,0.060923
2832.00,0.045167,0.064500,0.060697
2830.00,0.044721,0.061496,0.058999
2828.00,0.045323,0.062628,0.059574
2826.00,0.045680,0.062776,0.060975
2824.00,0.044722,0.062197,0.059775
2822.00,0.045905,0.063645,0.059947
2820.00,0.044850,0.063943,0.060710
2818.00,0.045323,0.063071,0.059740
2816.00,0.045116,0.062580,0.057543
2814.00,0.043260,0.062733,0.057575
2812.00,0.043274,0.061317,0.058452
2810.00,0.043944,0.060557,0.058254
2808.00,0.043571,0.063369,0.057938
2806.00,0.044086,0.062909,0.057721
2804.00,0.043921,0.061170,0.057077
2802.00,0.044124,0.062726,0.059931
2800.00,0.044794,0.063206,0.059941
2798.00,0.044921,0.060285,0.058197
2796.00,0.043889,0.063040,0.059001
2794.00,0.044676,0.060148,0.059707
2792.00,0.043174,0.059716,0.058335
2790.00,0.043389,0.062147,0.057743
2788.00,0.044089,0.060949,0.058540
2786.00,0.043877,0.061557,0.058101
2784.00,0.044028,0.059973,0.057723
2782.00,0.044453,0.061921,0.059016
2780.00,0.043395,0.059585,0.057137
2778.00,0.042329,0.062184,0.056669
2776.00,0.043007,0.060537,0.058740
2774.00,0.043356,0.061989,0.057868
2772.00,0.042940,0.061330,0.057221
2770.00,0.042592,0.061493,0.057749
2768.00,0.043506,0.059378,0.056207
2766.00,0.043139,0.059594,0.057807
2764.00,0.043167,0.061865,0.056262
2762.00,0.044074,0.061172,0.058399
2760.00,0.043965,0.059027,0.055762
2758.00,0.042271,0.060248,0.056916
2756.00,0.043636,0.060757,0.055569
2754.00,0.041846,0.059443,0.056009
2752.00,0.042565,0.059787,0.056206
2750.00,0.042709,0.058659,0.055571
2748.00,0.043151,0.060445,0.057285
2746.00,0.043751,0.060450,0.056226
2744.00,0.041835,0.061445,0.055665
2742.00,0.044117,0.058938,0.055850
2740.00,0.042977,0.060550,0.056655
2738.00,0.043038,0.059336,0.056659
2736.00,0.043319,0.060910,0.058049
2734.00,0.042673,0.058416,0.057337
2732.00,0.041906,0.061114,0.056996
2730.00,0.043542,0.059664,0.057201
2728.00,0.043601,0.060903,0.056742
2726.00,0.043967,0.061636,0.055877
2724.00,0.042695,0.059527,0.058197
2722.00,0.042994,0.058579,0.056195
2720.00,0.043474,0.061759,0.055408
2718.00,0.043522,0.058992,0.056774
2716.00,0.042071,0.060147,0.056283
2714.00,0.043845,0.060591,0.057838
2712.00,0.042055,0.061389,0.055594
2710.00,0.042606,0.060404,0.056888
2708.00,0.043111,0.060708,0.058278
2706.00,0.043111,0.060665,0.057789
2704.00,0.043275,0.061496,0.058233
2702.00,0.042144,0.059097,0.058665
2700.00,0.042949,0.059570,0.056796
2698.00,0.042602,0.059753,0.058611
2696.00,0.043414,0.062105,0.058531
2694.00,0.042661,0.061373,0.056068
2692.00,0.044376,0.061012,0.058199
2690.00,0.043613,0.059129,0.057657
2688.00,0.042457,0.060873,0.057847
2686.00,0.042226,0.060457,0.058817
2684.00,0.042366,0.059216,0.057171
2682.00,0.043128,0.059352,0.057284
2680.00,0.044196,0.059088,0.057957
2678.00,0.043867,0.059947,0.058131
2676.00,0.042622,0.060074,0.057961
2674.00,0.043885,0.061665,0.057418
2672.00,0.042903,0.061547,0.057136
2670.00,0.043265,0.060233,0.056647
2668.00,0.042638,0.062511,0.058857
2666.00,0.044837,0.061543,0.056718
2664.00,0.044845,0.062788,0.059171
2662.00,0.043965,0.062892,0.059621
2660.00,0.044064,0.061254,0.057185
2658.00,0.044997,0.062172,0.059822
2656.00,0.042997,0.061930,0.057691
2654.00,0.045339,0.061671,0.058691
2652.00,0.044517,0.062021,0.057741
2650.00,0.043545,0.062139,0.059745
2648.00,0.045336,0.061737,0.058494
2646.00,0.045058,0.061892,0.060473
2644.00,0.045259,0.060770,0.058048
2642.00,0.043353,0.063085,0.058978
2640.00,0.045468,0.063595,0.059308
2638.00,0.045263,0.062419,0.060599
2636.00,0.044970,0.062599,0.060557
2634.00,0.045409,0.064410,0.059461
2632.00,0.044625,0.062320,0.060720
2630.00,0.044846,0.064785,0.061197
2628.00,0.044350,0.062955,0.060424
2626.00,0.044180,0.061824,0.058446
2624.00,0.045802,0.063084,0.059178
2622.00,0.044958,0.063918,0.058589
2620.00,0.046679,0.062400,0.061355
2618.00,0.045331,0.063257,0.060912
2616.00,0.045713,0.063703,0.059410
2614.00,0.045144,0.064746,0.062273
2612.00,0.045983,0.062798,0.061138
